comments,sentiments,compound
Rip beautiful soul,pos,0.5994
Rip,neu,0.0
Omg! Such a brilliant chap! Would have been a Nigerian success had she lived!,pos,0.8547
"No way dear,   Nigeria is not made for saints to thrive ",pos,0.1027
She was already a MEDICAL DOCTOR. ,neu,0.0
She's already got the brilliance & charisma. ,pos,0.5994
"It's obvious,   she was neva a product of quota system.",neu,0.0
 you could imagine a patient being entirely aware of her condition as well as its respective treatment modalities.,pos,0.5994
"She addressed an entire moderation on the rudiments of Blood Malignancies. Meanwhile,   Nigerians keep begging their president to address the nation. ",neu,0.0
LAI MOHAMMED,neu,0.0
"who is never aware of anything,   yet the Minister of Information,   should also borrow a Leaf from this young Lady....who was already practically involved in her own management and knew almost the entire protocol including the genetic mapping. ",neu,0.0
"who is never aware as well,   should also listen and learn from her.",neg,-0.2057
"Until we start getting reasonable people into political offices,   Nigeria will still remain a MIRAGE",neu,0.0
This Life no balance. rest in peace Shining star.,pos,0.3182
God.... I feel like crying I swear... ,neg,-0.1531
Heaven rest her soul..,pos,0.5106
Quite sad,neg,-0.5256
Omg! Such a brilliant chap! Would have been a Nigerian success had she lived!,pos,0.8547
This video made me cry  ,neg,-0.4767
rest in peace  champ,pos,0.765
Hmmmn,neu,0.0
Sleep well beautiful soul ,pos,0.7184
Such a beauty with brains.,pos,0.5859
Rip beautiful soul,pos,0.5994
"So sad . I thought one footballer( a goal keeper ) of a Nigeria descent playing abroad had this disease and he survived it. Why couldn't the parent of the girl seek for international help.... like a better hospital,   GoFundMe etc. Despite all the pains she had while writing her waec,   she still came out in flying colors.  rest in peace ",pos,0.8988
"This is really touching,   I didn't know when tears started rolling down my cheeks. Just listening to her analysis of her condition shows the future is bright for her. rest in peace beautiful soul.",pos,0.8993
"She was awesome,   she deserved better attention",pos,0.7906
She was treated in a South African hospital.,neu,0.0
Her father is a professor of oral and maxillofacial surgery and he knows where best to take his daughter.,pos,0.6369
Death..,neu,0.0
God help us,pos,0.5859
"Already a medical doctor?..Rest on,   our priceless jewel... your soul isn't in the ground,   it's in our hearts ",neu,0.0
"Cancers are bad and no form is curable. Beware of Agric/Accounting graduates turned supplement doctors on nairaland overnight promising you cures of all diseases,   they are ignorant.",neg,-0.6249
Its so emotional watching this video. Such a brilliant mind. Even in her pains she was still humorous.,pos,0.6697
"rest in peace  dear child,   you are in a better place.",pos,0.8402
rest in peace  Chisom. What a brilliant mind. Her knowledge of basic medicine and pharmacy surpasses some of the people parading themselves as doctors and pharmacists today.,pos,0.8074
I woke up with an unusual full energy but watching this video just weakened me.  Rest in peace to this Angel.,pos,0.5187
Couldn't watch to the end. So emotional,pos,0.2247
Why are good stars always have issues/problem like this while useless people blossom why?,pos,0.3818
May God grant her family the fortitude to bear the loss!,pos,0.3802
she was brilliant ooooo,pos,0.5859
Life is so unfair.. Rest in peace champ,pos,0.765
No sir,neg,-0.296
You have not yet put OAU on the list!,neu,0.0
"Sad they want to continue strike,   and that is where CONUAS started from o ",neg,-0.5106
"Meeting still under way,   secrecy mode.",neu,0.0
Heard unilag votes for suspension. Who can confirm this,neu,0.0
Future INEC Chairman. Thanks sir ,pos,0.4404
"No rush guys ,   no worry by tomorrow evening,   Many universities for lock in their decisions.. and I'm 90% positive that many would vote for the strike to be suspended..",neg,-0.4939
Reasonable school,neu,0.0
A FUTARIAN also...but I no trust those ASUU FUTA oh,pos,0.2732
With the way FUTA take serious??.. they really missed you.,neg,-0.4316
Infact some latest indications show that we would be resuming next month sef,neu,0.0
How many zonal members does ASUU have in total? ,neu,0.0
indications like what and what oh?,pos,0.3612
thank you so much for this.,pos,0.3612
How do you get these updates if I may ask?,neu,0.0
FAKE NEWS.,neg,-0.4767
THE TEXT ATTACHED TO THE CIRCULAR FROM OAU READS FUTO REJECTS OFFER. ON THIS QUOTE SAME FUTO ACCEPTS GOVERNMENT OFFER,neg,-0.2263
Oau ASUU branch supports continuation of strike until all demands are met by the federal government.,pos,0.25
"Some other institutions such as FULAFIA,   FUTO have also rejected the offer from the government",neg,-0.5106
CONTRADICTION ON FUTO. WELDONE OOO,neg,-0.25
source no  that post so the information is not 100% infallible,neg,-0.296
"For now,   that is the information we have,   if you have contrary info please present it!",pos,0.3802
"So,   Oga detective,   what is your information on FUTO?",neu,0.0
"has in,   this guy is tired of home.",neg,-0.4404
please help me tell him to share his information too... This aint a battle field ,pos,0.8118
I thought we're sharing informations here ,pos,0.4215
That's mine till all can be confirmed,neu,0.0
your alma mater.,neu,0.0
"please no mind am,    so some people  do I too know!",pos,0.1007
Nothing yet sir,neu,0.0
