comments,sentiments,compound
corona is going...,neu,0.0
Corona doesn't have place in Nigeria ,neu,0.0
On God,pos,0.2732
Where is Reference?,neu,0.0
We have forgotten about corona,neg,-0.2263
Obaseki's victory has made everyone forget the pandemic...,neg,-0.2263
May we rejoice very soon at the complete demise of corona!!,pos,0.5399
SERIOUSLY SHAKING MY HEAD,neg,-0.34
Please let us resume.,pos,0.3182
"it is well, we'll be alright",pos,0.4767
it was proven on Saturday by the dogged people of Edo state ,neu,0.0
"The Number Down Again To 97 Today, The Number That Lagos Use To Have In Triple Fold. That Means Things Are Getting Better.",pos,0.5423
Nice one. Confirm ,pos,0.4215
Nigeria is already free of corona. We will record 0 case soon,pos,0.5106
"By Tomorrow,volume will increase to 230 ",pos,0.3182
it's watercolor chart board they're showing,neu,0.0
its going down,neu,0.0
Great,pos,0.6249
this country is joke.,pos,0.296
the numbers have no other place to go but down.,neg,-0.1531
Is Melinda Gates watching?,neu,0.0
"Oops, it hurts them.",neg,-0.4767
Coronavirus is scam,neg,-0.5719
"Bro, use charcoal powder morning and night to brush with your paste, you can get longrich toothpaste.",neu,0.0
"Visit a dentist again and tell the dentist that you need a combination of tetracycline and salt plus warm water injected into your gums from underneath and on your own, rinse your mouth thrice daily with tetracycline and salt in warm water as warm as your mouth can hold.",pos,0.5719
"Make sure to also brush after breakfast and after dinner, before you retire to bed. ",pos,0.3182
Good luck.,pos,0.7096
It's one thing to think that you have bad breaths. It is another thing to actually have bad breadths. Confirm from your closet friend(s). problem for who doesn't have teeth oooo,neg,-0.8658
"If you are suffering from halitosis, you can try Profresh. But if the mouth odour is as a result of the TMAU, there is no known cure.",neg,-0.6486
there are medications for bad breath,neg,-0.5423
visit a good hospital and get the treatment,pos,0.4404
Man just focus on brushing your tongue more. Brush till those sticky stuff stops dropping. Also change your brush at least every 3 months,neg,-0.1531
"concerning your life the devil is a liar. what I just read tells me you are witty, probably well mannered too. I think it's obvious from all you've used that the bad breath isn't actually coming from your mouth but your gut. So when you apply those remedies, it only suppresses or masks the odour. Please text me, I have some questions I'd like to ask as I might be able to be of help.",pos,0.6369
"You must really be a slowpoke, this stupid boy.",neg,-0.6124
"Seriously I never had the courage to tell him, even one of my cousinthatyear. Butthatmy cousin get multiple girlfriends but I don't know how he's doing it.",neg,-0.2878
This guy called bad breath have haunted me all the way from primary school down to secondary and even to my university level.,neg,-0.765
I am still a young 19 years old guy at the peak of youthfulness but this guy is just ruining everything for me.,neg,-0.3612
"My self-esteem, public speaking skills, social life, confidence, in fact, everything has been smashed with a sledgehammer right in my face.",pos,0.5106
"I have turned into an introvert because of this bad sickness but will cover it up with ""Money on my mind"" shit.",neg,-0.8158
I have tried everything possible guys. ,neu,0.0
Below are kinds of stuff that I have tried and it is not working.,neu,0.0
 1.  ,neu,0.0
Visiting a dentist,neu,0.0
.,neu,0.0
"6 months ago, I took all the money I had to go over to the dentist in search of a solution. Had to wait for hours before getting attended to.",pos,0.3182
"Eat Walnuts. It's that simple. If you want to confirm if what I'm saying is the truth, eat Walnuts before going to bed and smell your breath in the morning and see wonder.",pos,0.3818
"Sometimes it might not be from your mouth , it could be stomach ulcer,  have you thought or look into that,  try as much as possible to eat fresh fruit, take enough water and while brushing your teeth also brush your tongue,  the teeth doesn't smell,  it's the tongue.",pos,0.3182
"Brush as often as possible just like others have recommended. In addition, take lots of citrus based fruits such as oranges, water melon and the likes. The juice contains acidic contents that kills bacterias in the mouth.",pos,0.3818
"From all indications, you have tonsils stones. I was once struggling with bad breath too until i found a way to get rid of my tonsils stones. Tonsils stones are food particles that get stuck between your throat. They get decayed there and begin to cause bad breath. You need to see an ENT doctor and not a dentist.",neg,-0.9246
"Damn my nigga, you need to go for a medical evaluation. ",neg,-0.4019
"Pay attention to scrubbing of your tongue, especially the back. That is where the issue is.",neg,-0.1027
"I don't know about bad breath, but there is this thing i've always notices comes out of my throat a few time, it is somehow yellowish in color and like a fat, it doesn't smells while there, but once it comes out into my mouth, and i take it closer to my nose or crush it, it smells horibly.",pos,0.5065
"That usually happens when i don't open my mouth for a long time, cause i'm always busy on my system. sometimes, i squeeze my throat to bring out the rest, once one is out.",neu,0.0
"It never causes me any bad breath, just a regular cleanup, but i do think it may be a cause of bad breath, try squeezing your throath against each other regularly, to see if anything will come out from it, i hope that works.",neg,-0.4854
I recommend very urgently Edmark Tooth paste. It works very well for me. You can contact me for me health benefits of what I said to you in the Tooth paste.,pos,0.7574
Try out ONE Family Toothpaste and you will be okay.,pos,0.2263
"The problem is not from the mouth, it's from your stomach. I will advise that you run a check up on you body more especially your digestive system and your lung.",neg,-0.4019
"I once have a friend who had the same issue as yours, he did an operation and his own was over.",pos,0.4939
I will recommend you to go for check up first before any other thing.,pos,0.3612
To use hydrogenperioxide as mouth wash.,neu,0.0
