comments,sentiments,compound
Any southerner who thinks this insecurity matter is a northerner problem alone is deceiving himself.,neg,-0.85
These people are with us in the south under the guise of herdsmen.,neu,0.0
May we never be unfortunate o,pos,0.357
"When the rabid dog does not find it's usual diet, it will attack it's owner.",neg,-0.4767
"Bastards and fools, God go punish the politicians that brought bokoharam to this nation,  along with their supporters.",neg,-0.765
These are signs of a failed state when government can't provide security for the people.Security of lives & property is government first priority.,neg,-0.6526
Believe it or not karma is in full force in north,neu,0.0
Earlier they atone for innocent people they murdered  out of hatred or religion ,neg,-0.802
They won't posses Peace,neg,-0.431
They won't blame igbos as they always do since 1889,pos,0.2584
Don't expect love from me down here,neg,-0.5216
You all are accomplice when you failed to speak up against crime on humanity because of religion and tribe,neg,-0.7783
"My story, still remain, Nigeria can't have peace if they don't go back to negotiating table ",neg,-0.431
!!Divide for peace !!,pos,0.6876
Hope they verified this news with lai Mohammed to avoid sanctioning. ,pos,0.1779
Have said my own.,neu,0.0
Say yours.,neu,0.0
Lai Mohammed will soon accuse UN of inflating the figure from 43,neg,-0.2023
"The only safe part of the country is Den of the kidnappers, detention of the bandits, armoury/cells of BH and politicians' vault",pos,0.1027
"Its safe to say, the republic may soon be declared a failed state if it continues in this direction. A pity to the lives lost.",neg,-0.5994
They brought death to themselves,neg,-0.5994
Nigeria is a failed state..,neg,-0.5106
"UN just underestimating deaths as usual, if they have the guts let them intervene in Nigeria's matter because things are getting out of hands.",neu,0.0258
"Be very careful about the type of questions you ask,",pos,0.2247
"A lot of Northerners were asking where the Lekki bodies are, mocking people up and down, ",neg,-0.4019
"Well here are over 100 bodies, what are you planning to do with them ?",pos,0.2732
"You can tell most Northerners don't care, their heart has been hardened, like Pharaoh, they are on a charted course of self destruction, just like the biblical story, they are more focused on the destruction of 'isreal',",neg,-0.5265
May God console the families of the dead,neg,-0.4939
Nobody was killed.,neg,-0.6705
That is one of the most peaceful states in Nigeria.,pos,0.5413
Amen,neu,0.0
Lier mahammad will sanctions UN for reviewing the truth !,pos,0.3802
"Look at this hypocritical animal asking GEJ  to resign, yet he is stuck in power under worst insecurity.",neg,-0.93
Very useless President,neg,-0.4754
"I SEE APC COLLAPSING, I SEE TWO NEW PARTIES BEING FORMED, I SEE BETRAYALS! DESPERATIONS!",neg,-0.508
I'm moving to Syria or even Afghanistan. They are safer than Nigeria by far. ,pos,0.4215
